permno,year,month,logmmt,next_ret,mmt6,mmt12,mmt36,chmmt,idiovol,beta,max,min,capei,be,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,gprof,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,peg_trailing,divyield,peg_1yrforward,peg_ltgforward,DATE,COMNAM,TICKER,SICCD,SECTOR
10015,1984,11,-0.141970269,0.033898,-0.372340434,-0.546153854,,-0.095417353,0.0159832216,-0.642458972,0.0153846154,-0.063492067,,8.513,0.415,7.492,,,9.211,9.211,0.46,5.273,0.0,0.045,0.122,0.08,0.755,0.07,0.087,0.279,0.185,0.208,0.279,0.217,0.193,0.217,0.244,0.196,1.637,0.604,0.396,0.459,0.396,0.16,0.138,0.47,0.093,0.018,0.38,1.434,0.137,0.345,0.655,1.534,1.094,0.334,-0.613,0.76,0.656,0.501,0.47,1.003,2.869,3.317,1.364,1.468,1.618,,20.382,2.167,430.195,,2.619,4.339,20.289,0.0,0.052,0.0,0.091,1.546,,,,,19830411,ACCU TEST SYS INC,,1389.0,Mining
10018,1987,3,-0.86499743,0.0,-0.749999998,-0.866666665,,-0.283333333,0.1103377741,0.4313864664,0.0,-0.473684222,,2.166,0.543,-8.97,-0.781,,-0.781,-0.781,0.395,-0.851,,-0.24,-0.18,-0.226,0.241,-0.238,-0.189,-0.186,-0.426,-0.29,,-0.426,-0.498,-0.426,-0.357,-0.242,0.21,0.848,0.152,0.255,0.152,0.236,0.107,0.039,0.731,0.225,0.198,-1.259,0.402,0.655,0.345,-0.701,-1.813,-1.187,,1.443,0.18,0.342,0.251,0.52,-9.299,-9.716,0.06,0.858,3.192,266.276,1.564,1.037,6.214,18.362,1.127,1.33,1.78,0.0,0.0,0.0,-0.233,0.526,,,,,19620702,BARBER OIL CORP,BBO,1311.0,Mining
10018,1989,6,0.0,0.0,0.6363636562,-0.279999998,-0.915094339,1.1963636605,0.0,0.0,0.0,0.0,-1.398,0.574,2.016,-1.841,-0.556,,-0.543,-0.543,0.233,4.215,,-0.375,-0.27,-0.344,0.004,-0.375,-0.301,-0.304,-0.765,-0.482,,-0.765,-0.601,-0.765,-0.616,-0.401,0.005,0.783,0.217,0.481,0.217,0.209,0.094,0.037,0.717,0.238,0.311,-0.902,0.549,0.716,0.284,-0.974,0.2,0.033,0.987,1.356,0.277,0.494,0.447,0.976,-15.317,-14.984,0.052,0.48,1.698,136.36,2.952,1.277,8.945,6.54,1.976,2.523,5.17,0.0,0.0,0.0,0.52,1.116,-0.001,,,,19880404,TAYLOR S COMPANIES INC,TAYS,1040.0,Mining
10018,1989,7,0.0,0.0,0.6363636562,-0.279999998,-0.915094339,1.1963636605,0.0,0.0,0.0,0.0,-1.398,0.574,2.016,-1.841,-0.556,,-0.543,-0.543,0.233,4.215,,-0.375,-0.27,-0.344,0.004,-0.375,-0.301,-0.304,-0.765,-0.482,,-0.765,-0.601,-0.765,-0.616,-0.401,0.005,0.783,0.217,0.481,0.217,0.209,0.094,0.037,0.717,0.238,0.311,-0.902,0.549,0.716,0.284,-0.974,0.2,0.033,0.987,1.356,0.277,0.494,0.447,0.976,-15.317,-14.984,0.052,0.48,1.698,136.36,2.952,1.277,8.945,6.54,1.976,2.523,5.17,0.0,0.0,0.0,0.52,1.116,-0.001,,,,19880805,TAYLOR S COMPANIES INC,TAYS,1040.0,Mining
10019,1993,4,0.1823215593,0.166667,0.1538461634,-0.090909089,-0.433962272,0.3659673802,0.0593315769,1.0487776884,0.1538461596,-0.103448279,8.008,33.626,0.771,10.54,23.81,,34.091,34.091,0.801,-116.58,0.0,0.023,0.081,0.037,0.42,0.039,0.067,0.085,0.034,0.048,0.399,0.034,0.0,0.034,0.06,0.046,0.431,0.885,0.115,0.155,0.115,0.082,0.078,0.303,0.532,0.284,0.121,1.462,0.259,0.675,0.29,0.396,-0.034,0.282,0.792,1.842,0.128,0.31,0.192,0.448,6.355,7.183,0.449,1.394,2.98,239.932,1.793,1.025,5.793,15.904,1.314,1.485,2.479,0.122,0.014,0.0,-0.031,1.165,,,,,19861023,HORIZON GOLD SHARES INC,HRIZ,1040.0,Mining
10019,1993,5,0.1541506841,-0.028571,0.2068965662,0.3725490408,-0.326923083,0.0696416604,0.0563742605,0.4243593118,0.150000006,-0.0625,9.343,33.626,0.771,10.54,27.778,,39.773,39.773,0.935,-136.02,0.0,0.023,0.081,0.037,0.42,0.039,0.067,0.085,0.034,0.048,0.399,0.034,0.0,0.034,0.06,0.046,0.431,0.885,0.115,0.155,0.115,0.082,0.078,0.303,0.532,0.284,0.121,1.462,0.259,0.675,0.29,0.396,-0.034,0.282,0.792,1.842,0.128,0.31,0.192,0.448,6.355,7.183,0.449,1.394,2.98,239.932,1.793,1.025,5.793,15.904,1.314,1.485,2.479,0.122,0.014,0.0,-0.031,1.359,,,,,19870828,HORIZON GOLD SHARES INC,HRIZ,1040.0,Mining
10019,1993,6,-0.028987537,0.058824,0.0149253906,0.6190476523,-0.116883117,-0.58031271,0.0665975359,2.5248202418,0.1333333403,-0.09375,9.076,33.626,0.771,10.54,26.984,,38.636,38.636,0.908,-132.13,0.0,0.023,0.081,0.037,0.42,0.039,0.067,0.085,0.034,0.048,0.399,0.034,0.0,0.034,0.06,0.046,0.431,0.885,0.115,0.155,0.115,0.082,0.078,0.303,0.532,0.284,0.121,1.462,0.259,0.675,0.29,0.396,-0.034,0.282,0.792,1.842,0.128,0.31,0.192,0.448,6.355,7.183,0.449,1.394,2.98,239.932,1.793,1.025,5.793,15.904,1.314,1.485,2.479,0.122,0.014,0.0,-0.031,1.32,,,,,19870903,HORIZON GOLD SHARES INC,HRIZ,1040.0,Mining
10019,1993,7,0.057158414,-0.166667,-0.052631568,0.8000000391,-0.027027028,-0.952631588,0.0560005187,1.4591347467,0.1176470593,-0.105263159,10.122,33.71,1.033,9.695,48.718,,67.857,67.857,0.868,-24.806,0.0,0.013,0.073,0.027,0.408,0.026,0.059,0.083,0.021,0.038,0.399,0.021,0.0,0.021,0.053,0.039,0.491,0.887,0.113,0.157,0.113,0.082,0.078,0.054,0.605,0.338,0.13,1.474,0.283,0.612,0.346,0.535,-0.256,0.282,0.792,1.495,0.125,0.269,0.196,0.367,6.355,7.183,0.088,1.44,3.646,222.673,1.96,1.201,5.924,15.518,1.457,1.642,2.762,0.11,0.014,0.0,-0.055,1.394,,,,,19900904,HORIZON GOLD CORP,HRIZ,1040.0,Mining
10019,1993,8,-0.182321563,0.016667,-0.166666662,0.5384615633,0.0714285696,-1.012820528,0.0479028559,10.0406762,0.1111111119,-0.106666669,8.435,33.71,1.033,9.695,38.462,,53.571,53.571,0.723,-20.672,0.0,0.013,0.073,0.027,0.408,0.026,0.059,0.083,0.021,0.038,0.399,0.021,0.0,0.021,0.053,0.039,0.491,0.887,0.113,0.157,0.113,0.082,0.078,0.054,0.605,0.338,0.13,1.474,0.283,0.612,0.346,0.535,-0.256,0.282,0.792,1.495,0.125,0.269,0.196,0.367,6.355,7.183,0.088,1.44,3.646,222.673,1.96,1.201,5.924,15.518,1.457,1.642,2.762,0.11,0.014,0.0,-0.055,1.162,,,,,19920917,HORIZON RESOURCES CORP,HRIZ,1040.0,Mining
10019,1993,9,0.0165293028,0.245902,0.220000002,0.5250000254,0.3260869623,-0.030000017,0.0666530391,-1.471250254,0.1333333403,-0.117647059,8.577,33.71,1.033,9.695,39.103,,54.464,54.464,0.735,-21.02,0.0,0.013,0.073,0.027,0.408,0.026,0.059,0.083,0.021,0.038,0.399,0.021,0.0,0.021,0.053,0.039,0.491,0.887,0.113,0.157,0.113,0.082,0.078,0.054,0.605,0.338,0.13,1.474,0.283,0.612,0.346,0.535,-0.256,0.282,0.792,1.495,0.125,0.269,0.196,0.367,6.355,7.183,0.088,1.44,3.646,222.673,1.96,1.201,5.924,15.518,1.457,1.642,2.762,0.11,0.014,0.0,-0.055,1.182,,,,,19921007,HORIZON RESOURCES CORP,HRIZ,1040.0,Mining
